year,artform,companies
2015,Music,1787
2015,Dance,476
2015,Theatre,513
2015,Visual Arts,1243
2015,Craft,600
2015,Literary Arts,1038
2015,Others,92
2016,Music,1879
2016,Dance,464
2016,Theatre,525
2016,Visual Arts,1171
2016,Craft,458
2016,Literary Arts,843
2016,Others,83
2017,Music,1796
2017,Dance,453
2017,Theatre,496
2017,Visual Arts,1071
2017,Craft,332
2017,Literary Arts,715
2017,Others,82
2018,Music,1865
2018,Dance,489
2018,Theatre,517
2018,Visual Arts,958
2018,Craft,135
2018,Literary Arts,664
2018,Others,71
2019,Music,1329
2019,Dance,447
2019,Theatre,316
2019,Visual Arts,740
2019,Craft,202
2019,Literary Arts,551
2019,Others,76
